,name,latitude,longitude,visited,successed,visitorder,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,Daiwa Ubiquitous,35.70811,139.76266999999999,1,1,0,0.0,130.14893507047836,28.93126509516335,66.99670439637543,142.65176655102096,153.95348420881294,90.67190193120271,151.75278350127255,119.67619353921847,52.36803796222272,101.15745993234212,123.65166638456058,144.99578511070303,196.28771382876045,222.72940196569706,260.2087364024857,255.59497432344108,298.0777673697864,305.80017952891586,408.0179047552648
1,Sangaku Renkei Plaxa,35.70858,139.76262,0,0,0,130.14893507047836,0.0,154.46549452844826,153.68051437924774,176.00649590383375,236.89534102584474,195.77952523024229,273.329435298707,247.3891460839221,145.24797589074618,170.41443894334483,38.782270434826216,132.36765541587482,248.89169632681538,190.5958556740608,271.6498525685007,312.6452702333652,342.1043912318611,278.758573141816,368.24301554963426
2,The University Museum,35.7086,139.76119,1,1,4,28.93126509516335,154.46549452844826,0.0,84.84613662428627,132.38471361871237,130.0624111722723,64.24486360676117,123.14300142643938,93.03586942724327,71.42397706660492,119.05929447125595,142.78635263740915,146.20206427957973,177.65827450435884,222.23949783895117,248.46669354223988,234.32621705482262,278.5855970789981,301.2080153308251,404.32389207207655
3,LPixel Inc.,35.708729999999996,139.76288,1,1,3,66.99670439637543,153.68051437924774,84.84613662428627,0.0,209.60267006913702,214.63099706261255,147.85401245762327,186.73832199205148,145.83588892965344,14.68597289886594,34.4580977418147,163.28598041357256,207.45330679408883,261.68834020653844,285.16362197846087,327.17280220107597,319.1565028308147,363.06675006134907,370.3661175104105,471.6883006825877
4,Caffe Kurogi,35.70798,139.7627,1,1,15,142.65176655102096,176.00649590383375,132.38471361871237,209.60267006913702,0.0,83.71999999812374,99.34145207173421,171.88714902585158,175.94692438428368,194.9345831304819,243.5151132890861,139.85098104725827,57.415830568926104,73.10103214038784,104.34617194723899,117.57220504853402,136.64598493707146,168.44559151182787,171.46275309795845,274.7536090763545
5,Igakubu Education and Research Building,35.70985,139.76238,1,1,6,153.95348420881294,236.89534102584474,130.0624111722723,214.63099706261255,83.71999999812374,0.0,67.34805193987582,101.7178529090051,122.30465322525282,201.46907579064398,248.47039421193213,206.3158435484037,139.45551261700274,63.02719492252532,182.02802531330136,153.04430273472576,106.57554128244725,153.78697896731003,230.25396348232545,329.4752228918379
6,Yakugaku Library,35.70985,139.7633,1,1,17,90.67190193120271,195.77952523024229,64.24486360676117,147.85401245762327,99.34145207173421,67.34805193987582,0.0,82.92894368371415,77.01762201189096,135.09831234953793,181.41673709878913,172.9468646691398,137.2909381540486,122.19251204518342,202.41852607752034,203.70811201255077,173.56363242243282,219.81014080370767,269.29563977036645,372.1022762626935
7,Administration Building 2(Daini-HonbuTou),35.70925,139.76318999999998,1,1,16,151.75278350127255,273.329435298707,123.14300142643938,186.73832199205148,171.88714902585158,101.7178529090051,82.92894368371415,0.0,43.295664911562916,178.44390407073809,214.2855384757687,253.9788402601516,217.73932304464125,163.680552601838,275.9973920175867,254.50062514705604,191.25877862162014,240.30857433798857,331.4610295350939,431.18382077868137
8,Lawson Tatsuokamon,35.70921,139.7641,1,1,5,119.67619353921847,247.3891460839221,93.03586942724327,145.83588892965344,175.94692438428368,122.30465322525282,77.01762201189096,43.295664911562916,0.0,138.76600051737518,171.9650551691806,233.08954180643133,212.96895783158018,185.0843550933015,279.4208843313039,273.2167052004198,222.5782994816337,271.55202172119647,344.0270665233198,446.0701618599045
9,Public Relations Center,35.708859999999994,139.76389,1,1,2,52.36803796222272,145.24797589074618,71.42397706660492,14.68597289886594,194.9345831304819,201.46907579064398,135.09831234953793,178.44390407073809,138.76600051737518,0.0,48.84847694630815,152.1643979387708,193.17744304171646,247.55325083717847,270.9502760662078,312.5062490580626,305.4812801124126,349.0637259871918,355.89231011680477,457.35257340649946
10,Lawson Kasugamon,35.70767,139.76268000000002,1,1,1,101.15745993234212,170.41443894334483,119.05929447125595,34.4580977418147,243.5151132890861,248.47039421193213,181.41673709878913,214.2855384757687,171.9650551691806,48.84847694630815,0.0,186.15300722822627,238.70948535847015,296.13515512329025,316.0179292386537,361.0720617829901,353.37236620708205,397.46785844877314,402.245578844746,502.8651553861568
11,Institute of Advanced Studies on Asia,35.70893,139.76133000000002,1,1,12,123.65166638456058,38.782270434826216,142.78635263740915,163.28598041357256,139.85098104725827,206.3158435484037,172.9468646691398,253.9788402601516,233.08954180643133,152.1643979387708,186.15300722822627,0.0,93.77372819718146,212.9519194555161,153.24756082856393,232.87201484920854,276.2986255821943,304.31574786612657,242.0073759201848,334.00430715898295
12,Faculty of Medicine Building 1,35.70969,139.76178000000002,1,1,13,144.99578511070303,132.36765541587482,146.20206427957973,207.45330679408883,57.415830568926104,139.45551261700274,137.2909381540486,217.73932304464125,212.96895783158018,193.17744304171646,238.70948535847015,93.77372819718146,0.0,126.48440259521799,77.85340326572138,139.89400630467063,187.33574671971533,211.57290114637408,163.80577676006507,264.26626742870457
13,Faculty of Pharmaceutical Sciences,35.71033,139.76293,1,1,7,196.28771382876045,248.89169632681538,177.65827450435884,261.68834020653844,73.10103214038784,63.02719492252532,122.19251204518342,163.680552601838,185.0843550933015,247.55325083717847,296.13515512329025,212.9519194555161,126.48440259521799,0.0,141.06746931956388,91.08217882802373,64.01795451083072,101.8862620767689,172.5360078366898,268.85018356087494
